0,1,"Tallapoosa County, AL","1.093 (0.989,~1.196)","0.752 (0.217,~0.910)","8,277 (20.4)",855,"40,497",9.24\%
86,1,"Wright County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.4),472,"12,690",0.21\%
87,1,"Alcona County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (1.0),29,"10,362",3.45\%
88,1,"Allegan County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",649 (0.6),529,"117,327",1.13\%
89,1,"Alpena County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,406 (5.0)",128,"28,360",10.16\%
90,1,"Barry County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.4),181,"61,157",1.10\%
91,1,"Benzie County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (0.6),28,"17,753",3.57\%
92,1,"Branch County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.5),365,"43,622",0.55\%
93,1,"Charlevoix County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.8),49,"26,244",4.08\%
94,1,"Cheboygan County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.9),49,"25,413",4.08\%
95,1,"Chippewa County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",0 (0.0),40,"37,517",0.00\%
96,1,"Clare County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",324 (1.1),71,"30,757",4.23\%
97,1,"Clinton County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,406 (1.8)",423,"79,332",3.07\%
98,1,"Crawford County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",540 (3.9),106,"13,901",4.72\%
99,1,"Delta County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",324 (0.9),96,"35,857",3.12\%
100,1,"Dickinson County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.9),55,"25,383",3.64\%
101,1,"Emmet County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.6),62,"33,308",3.23\%
102,1,"Gladwin County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (0.9),58,"25,337",3.45\%
103,1,"Gogebic County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (0.7),119,"15,096",0.84\%
104,1,"Gratiot County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,622 (4.0)",156,"40,599",9.62\%
105,1,"Hillsdale County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","2,704 (5.9)",267,"45,749",9.36\%
106,1,"Huron County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",432 (1.4),156,"31,166",2.56\%
107,1,"Ionia County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",757 (1.2),273,"64,210",2.56\%
108,1,"Iosco County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,298 (5.2)",131,"25,081",9.16\%
109,1,"Iron County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (1.0),19,"11,117",5.26\%
110,1,"Isabella County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",973 (1.4),207,"70,562",4.35\%
111,1,"Kalkaska County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",432 (2.4),52,"17,824",7.69\%
112,1,"Lenawee County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,298 (1.3)",430,"98,266",2.79\%
113,1,"Manistee County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",0 (0.0),35,"24,528",0.00\%
114,1,"Missaukee County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (0.7),41,"15,113",2.44\%
115,1,"Montcalm County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (0.2),191,"63,968",0.52\%
116,1,"Oceana County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",649 (2.4),475,"26,625",1.26\%
117,1,"Ogemaw County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",216 (1.0),54,"20,952",3.70\%
118,1,"Oscoda County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (1.3),24,"8,276",4.17\%
119,1,"Otsego County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","1,081 (4.4)",135,"24,665",7.41\%
120,1,"Presque Isle County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",108 (0.8),20,"12,738",5.00\%
121,1,"St. Joseph County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",865 (1.4),588,"61,043",1.36\%
122,1,"Sanilac County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",649 (1.6),106,"41,182",5.66\%
123,1,"Tuscola County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)","3,137 (6.0)",350,"52,516",8.29\%
124,1,"Wexford County, MI","2.875 (2.729,~3.018)","0.935 (0.726,~1.012)",432 (1.3),69,"33,466",5.80\%
125,1,"Antelope County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (1.9),19,"6,336",5.26\%
126,1,"Buffalo County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (0.2),415,"49,615",0.24\%
127,1,"Cass County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",243 (0.9),178,"26,159",1.12\%
128,1,"Colfax County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",486 (4.5),701,"10,881",0.57\%
129,1,"Cuming County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",0 (0.0),67,"8,940",0.00\%
130,1,"Custer County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",486 (4.5),46,"10,840",8.70\%
131,1,"Dawson County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)","1,094 (4.6)",959,"23,709",0.94\%
132,1,"Dixon County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",243 (4.3),58,"5,709",3.45\%
133,1,"Dodge County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)","1,094 (3.0)",806,"36,791",1.12\%
134,1,"Fillmore County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (2.2),24,"5,527",4.17\%
135,1,"Furnas County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (2.6),15,"4,715",6.67\%
136,1,"Gage County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",486 (2.3),89,"21,493",4.49\%
137,1,"Hall County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)","5,474 (8.9)","1,741","61,607",2.58\%
138,1,"Hamilton County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)","1,459 (15.7)",100,"9,280",12.00\%
139,1,"Howard County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",486 (7.5),55,"6,468",7.27\%
140,1,"Lincoln County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",243 (0.7),123,"35,185",1.63\%
141,1,"Madison County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",608 (1.7),453,"35,392",1.10\%
142,1,"Perkins County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",851 (29.1),18,"2,929",38.89\%
143,1,"Platte County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",364 (1.1),792,"33,363",0.38\%
144,1,"Richardson County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (1.5),22,"7,937",4.55\%
145,1,"Saline County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",243 (1.7),595,"14,350",0.34\%
146,1,"Saunders County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",243 (1.1),160,"21,303",1.25\%
147,1,"Scotts Bluff County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",729 (2.0),301,"35,989",1.99\%
148,1,"Seward County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (0.7),119,"17,318",0.84\%
149,1,"Thurston County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",486 (6.7),205,"7,303",1.95\%
150,1,"Washington County, NE","0.970 (0.915,~1.025)","0.939 (0.887,~0.992)",121 (0.6),125,"20,667",0.80\%
151,1,"Livingston Parish, LA","0.834 (0.778,~0.896)","0.945 (0.287,~1.116)","7,846 (5.6)","2,924","139,567",1.74\%
152,1,"St. Landry Parish, LA","3.031 (2.119,~3.407)","0.949 (0.534,~1.065)","9,350 (11.3)","2,727","82,764",3.15\%
153,1,"Rapides Parish, LA","0.925 (0.871,~0.982)","0.951 (0.259,~1.112)","17,172 (13.2)","3,290","130,562",3.47\%
154,1,"Adams County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (0.6),101,"35,636",1.98\%
155,1,"Bartholomew County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","5,322 (6.4)",793,"82,753",5.93\%
156,1,"Blackford County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (1.9),64,"11,930",3.12\%
157,1,"Boone County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","5,208 (7.8)",678,"66,999",6.78\%
158,1,"Brown County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.7),73,"15,234",1.37\%
159,1,"Carroll County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (1.1),191,"20,127",1.05\%
160,1,"Cass County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,019 (2.7)","1,795","37,955",0.50\%
161,1,"Clay County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",566 (2.2),121,"26,170",4.13\%
162,1,"Clinton County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",339 (1.1),434,"32,250",0.69\%
163,1,"Daviess County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","2,264 (6.8)",273,"33,147",7.33\%
164,1,"Dearborn County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,170 (6.4)",508,"49,568",5.51\%
165,1,"Decatur County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,623 (13.5)",337,"26,794",9.50\%
166,1,"Dubois County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,358 (3.2)",696,"42,565",1.72\%
167,1,"Fountain County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (1.4),74,"16,351",2.70\%
168,1,"Franklin County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,585 (7.0)",242,"22,736",5.79\%
169,1,"Fulton County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (1.1),168,"20,092",1.19\%
170,1,"Gibson County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",452 (1.4),225,"33,452",1.78\%
171,1,"Grant County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,397 (5.2)",526,"65,936",5.70\%
172,1,"Greene County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,849 (12.0)",250,"32,006",13.60\%
173,1,"Hancock County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","4,302 (5.6)",660,"76,351",5.76\%
174,1,"Harrison County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","2,604 (6.5)",338,"40,350",6.80\%
175,1,"Henry County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","2,264 (4.7)",383,"48,271",5.22\%
176,1,"Huntington County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",339 (0.9),122,"36,240",2.46\%
177,1,"Jackson County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",566 (1.3),586,"44,111",0.85\%
178,1,"Jefferson County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (0.7),163,"32,208",1.23\%
179,1,"Jennings County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,358 (4.9)",225,"27,611",5.33\%
180,1,"Kosciusko County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,358 (1.7)",852,"79,344",1.41\%
181,1,"LaGrange County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (2.9)",559,"39,330",1.79\%
182,1,"Lawrence County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,057 (6.7)",346,"45,668",7.80\%
183,1,"Marshall County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","2,491 (5.4)",784,"46,248",2.81\%
184,1,"Miami County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (0.6),274,"35,567",0.73\%
185,1,"Morgan County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,849 (5.5)",476,"70,116",7.14\%
186,1,"Newton County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (8.1)",118,"14,011",8.47\%
187,1,"Noble County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,283 (6.9)",678,"47,532",4.28\%
188,1,"Ohio County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",566 (9.7),65,"5,844",7.69\%
189,1,"Orange County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","2,717 (13.9)",171,"19,489",14.04\%
190,1,"Owen County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.5),90,"20,845",1.11\%
191,1,"Parke County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.7),51,"16,927",1.96\%
192,1,"Perry County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,358 (7.1)",186,"19,102",6.45\%
193,1,"Pulaski County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.9),83,"12,469",1.20\%
194,1,"Putnam County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",905 (2.4),288,"37,779",2.78\%
195,1,"Randolph County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",452 (1.8),122,"24,851",3.28\%
196,1,"Ripley County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",792 (2.8),208,"28,523",3.37\%
197,1,"Rush County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",452 (2.7),80,"16,663",5.00\%
198,1,"Scott County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (4.7)",268,"23,878",3.73\%
199,1,"Shelby County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,057 (6.9)",553,"44,593",4.88\%
200,1,"Spencer County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",339 (1.7),136,"20,327",2.21\%
201,1,"Starke County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",792 (3.5),178,"22,935",3.93\%
202,1,"Steuben County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",339 (1.0),210,"34,586",1.43\%
203,1,"Sullivan County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.5),126,"20,690",0.79\%
204,1,"Tipton County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (7.5)",138,"15,128",7.25\%
205,1,"Wabash County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",339 (1.1),169,"31,280",1.78\%
206,1,"Warren County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (1.4),22,"8,263",4.55\%
207,1,"Warrick County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","3,397 (5.4)",581,"62,567",5.16\%
208,1,"Washington County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",113 (0.4),140,"27,943",0.71\%
209,1,"Wayne County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (1.7)",377,"65,936",2.65\%
210,1,"Wells County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",226 (0.8),168,"28,206",1.19\%
211,1,"White County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)","1,132 (4.7)",369,"24,133",2.71\%
212,1,"Whitley County, IN","3.361 (3.193,~3.526)","0.954 (0.911,~0.999)",679 (2.0),152,"34,074",3.95\%
