,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
17,"Union County, NJ",3.486 (0.150),0.840 (0.026),"160,053 (28.7)","16,575","558,067",8.13\%
18,"Philadelphia County, PA",3.738 (0.236),0.843 (0.038),"208,318 (13.2)","30,354","1,584,138",5.57\%
19,"Essex County, NJ",3.568 (0.120),0.845 (0.031),"239,843 (30.0)","19,526","799,767",10.77\%
20,"Passaic County, NJ",3.646 (0.159),0.855 (0.025),"150,723 (29.9)","17,493","503,310",7.10\%
21,"Bergen County, NJ",3.365 (0.138),0.866 (0.026),"218,150 (23.3)","20,521","936,692",9.94\%
22,"Milwaukee County, WI",3.113 (0.091),0.880 (0.017),"59,382 (6.3)","19,727","948,201",2.26\%
23,"Loudoun County, VA",0.913 (0.040),0.902 (0.069),"22,752 (5.6)","5,034","406,850",2.22\%
24,"Middlesex County, NJ",3.413 (0.114),0.909 (0.027),"173,976 (21.0)","17,713","829,685",7.93\%
25,"Santa Clara County, CA",2.784 (0.104),0.920 (0.039),"26,736 (1.4)","10,626","1,937,570",1.80\%
26,"San Mateo County, CA",2.958 (0.103),0.942 (0.112),"14,575 (1.9)","5,544","769,545",2.15\%
27,"Montgomery County, VA",0.932 (0.033),0.954 (0.065),498 (0.5),280,"98,985",1.07\%
28,"Richmond County, VA",0.932 (0.033),0.954 (0.065),664 (7.3),317,"9,038",1.26\%
29,"Charlottesville city, VA",0.932 (0.033),0.954 (0.065),"2,158 (4.5)",479,"48,117",2.71\%
30,"Colonial Heights city, VA",0.932 (0.033),0.954 (0.065),"3,487 (19.6)",184,"17,833",11.41\%
31,"Danville city, VA",0.932 (0.033),0.954 (0.065),"1,162 (2.9)",330,"40,693",2.12\%
32,"Falls Church city, VA",0.932 (0.033),0.954 (0.065),996 (6.7),59,"14,772",10.17\%
33,"Fredericksburg city, VA",0.932 (0.033),0.954 (0.065),332 (1.1),358,"29,144",0.56\%
34,"Galax city, VA",0.932 (0.033),0.954 (0.065),"3,653 (56.9)",331,"6,423",6.65\%
35,"Hampton city, VA",0.932 (0.033),0.954 (0.065),830 (0.6),"1,048","134,313",0.48\%
36,"Harrisonburg city, VA",0.932 (0.033),0.954 (0.065),"4,816 (8.9)","1,048","54,033",2.77\%
37,"Hopewell city, VA",0.932 (0.033),0.954 (0.065),830 (3.7),254,"22,596",1.97\%
38,"Lynchburg city, VA",0.932 (0.033),0.954 (0.065),332 (0.4),459,"82,126",0.44\%
39,"Manassas city, VA",0.932 (0.033),0.954 (0.065),"3,321 (8.0)","1,609","41,641",1.24\%
40,"Manassas Park city, VA",0.932 (0.033),0.954 (0.065),"1,162 (6.7)",500,"17,307",1.40\%
41,"Martinsville city, VA",0.932 (0.033),0.954 (0.065),498 (3.9),169,"12,902",1.78\%
42,"Newport News city, VA",0.932 (0.033),0.954 (0.065),"2,657 (1.5)","1,639","178,626",0.98\%
43,"Norfolk city, VA",0.932 (0.033),0.954 (0.065),"4,317 (1.8)","3,210","244,076",0.81\%
44,"Petersburg city, VA",0.932 (0.033),0.954 (0.065),"2,158 (6.8)",465,"31,567",2.80\%
45,"Portsmouth city, VA",0.932 (0.033),0.954 (0.065),"3,985 (4.2)","1,539","94,632",1.56\%
46,"Salem city, VA",0.932 (0.033),0.954 (0.065),498 (1.9),138,"25,643",2.17\%
47,"Williamsburg city, VA",0.932 (0.033),0.954 (0.065),996 (6.7),111,"14,896",5.41\%
48,"Winchester city, VA",0.932 (0.033),0.954 (0.065),664 (2.4),392,"28,108",1.02\%
49,"San Francisco County, CA",2.895 (0.119),0.957 (0.074),"7,203 (0.8)","6,811","883,305",0.90\%
50,"Clayton County, GA",3.077 (0.117),0.963 (0.029),"21,148 (7.3)","4,518","289,615",2.24\%
51,"Cuyahoga County, OH",3.343 (0.078),0.967 (0.022),"52,238 (4.2)","12,646","1,243,857",3.77\%
52,"Camden County, NJ",3.383 (0.146),0.972 (0.028),"73,362 (14.5)","8,357","507,078",6.88\%
53,"DeKalb County, GA",3.066 (0.091),0.981 (0.019),"39,595 (5.2)","12,476","756,558",1.80\%
54,"Harris County, TX",3.354 (0.080),0.999 (0.152),"154,338 (3.3)","76,639","4,698,619",0.99\%
55,"Ramsey County, MN",0.967 (0.023),1.001 (0.029),"41,272 (7.5)","6,861","550,210",3.80\%
56,"Alameda County, CA",3.092 (0.096),1.019 (0.042),"27,987 (1.7)","11,524","1,666,753",1.64\%
57,"Tarrant County, TX",3.280 (0.084),1.025 (0.104),"72,898 (3.5)","29,054","2,084,931",1.35\%
58,"Los Angeles County, CA",3.380 (0.081),1.030 (0.065),"710,834 (7.0)","192,177","10,105,518",2.44\%
59,"Dallas County, TX",3.397 (0.093),1.034 (0.115),"152,466 (5.8)","51,108","2,637,772",1.35\%
60,"Miami-Dade County, FL",3.393 (0.085),1.059 (0.024),"210,179 (7.6)","122,690","2,761,581",1.36\%
61,"Orange County, CA",3.561 (0.119),1.093 (0.092),"130,033 (4.1)","37,391","3,185,968",1.74\%
62,"Marin County, CA",3.666 (0.159),1.190 (0.044),"8,516 (3.3)","4,994","259,666",1.40\%
63,"Pinellas County, FL",3.784 (0.103),1.201 (0.027),"59,300 (6.1)","16,774","975,280",2.62\%
